,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.003002643585205078,0.008507728576660156,4,2,0
1,benchmark-1,0.0030024051666259766,0.009007930755615234,4,2,1
2,benchmark-1,0.0030028820037841797,0.00950932502746582,4,2,2
3,benchmark-1,0.0035033226013183594,0.009508609771728516,4,2,3
4,benchmark-1,0.003002643585205078,0.008507728576660156,4,2,4
5,benchmark-1,0.003002166748046875,0.008507251739501953,4,2,5
6,benchmark-1,0.003002643585205078,0.008007526397705078,4,2,6
7,benchmark-1,0.0035021305084228516,0.012509822845458984,4,2,7
8,benchmark-1,0.0030028820037841797,0.00950932502746582,4,2,8
9,benchmark-1,0.003002166748046875,0.00850677490234375,4,2,9
10,benchmark-10,0.0030019283294677734,0.005003690719604492,2,4,0
11,benchmark-10,0.0030031204223632812,0.004504680633544922,2,4,1
12,benchmark-10,0.0025017261505126953,0.004503488540649414,2,4,2
13,benchmark-10,0.0030024051666259766,0.005004405975341797,2,4,3
14,benchmark-10,0.003002643585205078,0.004503726959228516,2,4,4
15,benchmark-10,0.0025022029876708984,0.004503726959228516,2,4,5
16,benchmark-10,0.0025022029876708984,0.0040035247802734375,2,4,6
17,benchmark-10,0.0030028820037841797,0.004504203796386719,2,4,7
18,benchmark-10,0.0030028820037841797,0.0050048828125,2,4,8
19,benchmark-10,0.0030028820037841797,0.00450444221496582,2,4,9
20,benchmark-11,0.004503965377807617,0.008507728576660156,3,4,0
21,benchmark-11,0.004503965377807617,0.008507966995239258,3,4,1
22,benchmark-11,0.004503965377807617,0.009007453918457031,3,4,2
23,benchmark-11,0.004503965377807617,0.008507013320922852,3,4,3
24,benchmark-11,0.004503488540649414,0.008507251739501953,3,4,4
25,benchmark-11,0.004503726959228516,0.008507251739501953,3,4,5
26,benchmark-11,0.004503965377807617,0.009007692337036133,3,4,6
27,benchmark-11,0.004504203796386719,0.008507490158081055,3,4,7
28,benchmark-11,0.0040035247802734375,0.008007287979125977,3,4,8
29,benchmark-11,0.004503965377807617,0.00850677490234375,3,4,9
30,benchmark-12,0.0030024051666259766,0.0065059661865234375,3,6,0
31,benchmark-12,0.003002166748046875,0.006505012512207031,3,6,1
32,benchmark-12,0.0030028820037841797,0.0065059661865234375,3,6,2
33,benchmark-12,0.0030028820037841797,0.006505489349365234,3,6,3
34,benchmark-12,0.00250244140625,0.006005048751831055,3,6,4
35,benchmark-12,0.0030028820037841797,0.006505489349365234,3,6,5
36,benchmark-12,0.003002643585205078,0.006505250930786133,3,6,6
37,benchmark-12,0.003002643585205078,0.006505727767944336,3,6,7
38,benchmark-12,0.002501964569091797,0.006005287170410156,3,6,8
39,benchmark-12,0.0030024051666259766,0.006505489349365234,3,6,9
40,benchmark-13,0.005004405975341797,0.014512777328491211,5,2,0
41,benchmark-13,0.005004405975341797,0.01301121711730957,5,2,1
42,benchmark-13,0.004503965377807617,0.014011621475219727,5,2,2
43,benchmark-13,0.005003690719604492,0.013010263442993164,5,2,3
44,benchmark-13,0.005003929138183594,0.014011859893798828,5,2,4
45,benchmark-13,0.005004405975341797,0.014512777328491211,5,2,5
46,benchmark-13,0.005004405975341797,0.014511823654174805,5,2,6
47,benchmark-13,0.0050046443939208984,0.014011859893798828,5,2,7
48,benchmark-13,0.005004167556762695,0.01451420783996582,5,2,8
49,benchmark-13,0.0050046443939208984,0.014511585235595703,5,2,9
50,benchmark-14,0.004003286361694336,0.01050877571105957,4,2,0
51,benchmark-14,0.003503084182739258,0.009508371353149414,4,2,1
52,benchmark-14,0.004003286361694336,0.01050877571105957,4,2,2
53,benchmark-14,0.0035028457641601562,0.010009288787841797,4,2,3
54,benchmark-14,0.003503084182739258,0.009508371353149414,4,2,4
55,benchmark-14,0.003503084182739258,0.00950765609741211,4,2,5
56,benchmark-14,0.003503084182739258,0.009508609771728516,4,2,6
57,benchmark-14,0.004003763198852539,0.010509014129638672,4,2,7
58,benchmark-14,0.004003286361694336,0.010008096694946289,4,2,8
59,benchmark-14,0.0035028457641601562,0.009508609771728516,4,2,9
60,benchmark-15,0.017014265060424805,0.05654764175415039,8,2,0
61,benchmark-15,0.016514301300048828,0.0540461540222168,8,2,1
62,benchmark-15,0.017515182495117188,0.05604815483093262,8,2,2
63,benchmark-15,0.016514062881469727,0.05504941940307617,8,2,3
64,benchmark-15,0.017514705657958984,0.05504655838012695,8,2,4
65,benchmark-15,0.017014503479003906,0.05504775047302246,8,2,5
66,benchmark-15,0.018015384674072266,0.05704951286315918,8,2,6
67,benchmark-15,0.017014503479003906,0.05504751205444336,8,2,7
68,benchmark-15,0.017514705657958984,0.056548357009887695,8,2,8
69,benchmark-15,0.018515586853027344,0.0565488338470459,8,2,9
70,benchmark-16,0.003503084182739258,0.011009693145751953,5,2,0
71,benchmark-16,0.003503084182739258,0.011509418487548828,5,2,1
72,benchmark-16,0.003503084182739258,0.010509014129638672,5,2,2
73,benchmark-16,0.0035028457641601562,0.011008501052856445,5,2,3
74,benchmark-16,0.0035028457641601562,0.010509490966796875,5,2,4
75,benchmark-16,0.0035028457641601562,0.01100921630859375,5,2,5
76,benchmark-16,0.003503084182739258,0.011008739471435547,5,2,6
77,benchmark-16,0.0030024051666259766,0.010008096694946289,5,2,7
78,benchmark-16,0.0035028457641601562,0.011008739471435547,5,2,8
79,benchmark-16,0.003503561019897461,0.011511564254760742,5,2,9
80,benchmark-17,0.004003286361694336,0.010508060455322266,4,2,0
81,benchmark-17,0.0035026073455810547,0.009507894515991211,4,2,1
82,benchmark-17,0.004503726959228516,0.011510848999023438,4,2,2
83,benchmark-17,0.003503084182739258,0.010008573532104492,4,2,3
84,benchmark-17,0.0035026073455810547,0.01000833511352539,4,2,4
85,benchmark-17,0.004003286361694336,0.010008573532104492,4,2,5
86,benchmark-17,0.003503084182739258,0.009508848190307617,4,2,6
87,benchmark-17,0.0035028457641601562,0.010008573532104492,4,2,7
88,benchmark-17,0.0035026073455810547,0.010007858276367188,4,2,8
89,benchmark-17,0.003503084182739258,0.009508609771728516,4,2,9
90,benchmark-18,0.0070056915283203125,0.03402996063232422,9,2,0
91,benchmark-18,0.007506847381591797,0.034027099609375,9,2,1
92,benchmark-18,0.007006168365478516,0.034029245376586914,9,2,2
93,benchmark-18,0.007005453109741211,0.033026933670043945,9,2,3
94,benchmark-18,0.007506132125854492,0.03452897071838379,9,2,4
95,benchmark-18,0.007006406784057617,0.031527042388916016,9,2,5
96,benchmark-18,0.007005929946899414,0.03352856636047363,9,2,6
97,benchmark-18,0.007005453109741211,0.03302741050720215,9,2,7
98,benchmark-18,0.007005929946899414,0.03302812576293945,9,2,8
99,benchmark-18,0.007506370544433594,0.0345308780670166,9,2,9
100,benchmark-19,0.012010574340820312,0.06755900382995605,12,2,0
101,benchmark-19,0.011509895324707031,0.06805682182312012,12,2,1
102,benchmark-19,0.01201009750366211,0.06801509857177734,12,2,2
103,benchmark-19,0.012009859085083008,0.06655740737915039,12,2,3
104,benchmark-19,0.012511014938354492,0.06705832481384277,12,2,4
105,benchmark-19,0.01251077651977539,0.06780457496643066,12,2,5
106,benchmark-19,0.012010574340820312,0.0685586929321289,12,2,6
107,benchmark-19,0.01201009750366211,0.06705641746520996,12,2,7
108,benchmark-19,0.011509895324707031,0.06655550003051758,12,2,8
109,benchmark-19,0.011008977890014648,0.06555485725402832,12,2,9
110,benchmark-2,0.002501964569091797,0.00600433349609375,3,2,0
111,benchmark-2,0.003002643585205078,0.006006002426147461,3,2,1
112,benchmark-2,0.0025017261505126953,0.005504608154296875,3,2,2
113,benchmark-2,0.0025022029876708984,0.006004810333251953,3,2,3
114,benchmark-2,0.002501964569091797,0.006005048751831055,3,2,4
115,benchmark-2,0.0030024051666259766,0.006505489349365234,3,2,5
116,benchmark-2,0.0025017261505126953,0.0060040950775146484,3,2,6
117,benchmark-2,0.0025022029876708984,0.006505012512207031,3,2,7
118,benchmark-2,0.0030024051666259766,0.006005048751831055,3,2,8
119,benchmark-2,0.0030024051666259766,0.0070056915283203125,3,2,9
120,benchmark-20,0.004003286361694336,0.011337518692016602,5,2,0
121,benchmark-20,0.003503084182739258,0.011010408401489258,5,2,1
122,benchmark-20,0.004003763198852539,0.012009620666503906,5,2,2
123,benchmark-20,0.003503084182739258,0.011509895324707031,5,2,3
124,benchmark-20,0.0040035247802734375,0.011510372161865234,5,2,4
125,benchmark-20,0.003503084182739258,0.011009693145751953,5,2,5
126,benchmark-20,0.0035028457641601562,0.011010169982910156,5,2,6
127,benchmark-20,0.003503084182739258,0.010009050369262695,5,2,7
128,benchmark-20,0.0035033226013183594,0.01101064682006836,5,2,8
129,benchmark-20,0.0035028457641601562,0.011010408401489258,5,2,9
130,benchmark-21,0.005504608154296875,0.010509252548217773,3,4,0
131,benchmark-21,0.005505084991455078,0.010509252548217773,3,4,1
132,benchmark-21,0.005504608154296875,0.01050877571105957,3,4,2
133,benchmark-21,0.005003929138183594,0.01000833511352539,3,4,3
134,benchmark-21,0.005504608154296875,0.010509014129638672,3,4,4
135,benchmark-21,0.005004405975341797,0.010009050369262695,3,4,5
136,benchmark-21,0.0055048465728759766,0.01000833511352539,3,4,6
137,benchmark-21,0.0055043697357177734,0.010509252548217773,3,4,7
138,benchmark-21,0.005505084991455078,0.010009527206420898,3,4,8
139,benchmark-21,0.0055048465728759766,0.01050877571105957,3,4,9
