,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
100,benchmark-19,-1.0,-1.0,-1,2,0
101,benchmark-19,-1.0,-1.0,-1,2,1
102,benchmark-19,-1.0,-1.0,-1,2,2
103,benchmark-19,-1.0,-1.0,-1,2,3
104,benchmark-19,-1.0,-1.0,-1,2,4
105,benchmark-19,-1.0,-1.0,-1,2,5
106,benchmark-19,-1.0,-1.0,-1,2,6
107,benchmark-19,-1.0,-1.0,-1,2,7
108,benchmark-19,-1.0,-1.0,-1,2,8
109,benchmark-19,-1.0,-1.0,-1,2,9
110,benchmark-2,-1.0,-1.0,-1,2,0
111,benchmark-2,-1.0,-1.0,-1,2,1
112,benchmark-2,-1.0,-1.0,-1,2,2
113,benchmark-2,-1.0,-1.0,-1,2,3
114,benchmark-2,-1.0,-1.0,-1,2,4
115,benchmark-2,-1.0,-1.0,-1,2,5
116,benchmark-2,-1.0,-1.0,-1,2,6
117,benchmark-2,-1.0,-1.0,-1,2,7
118,benchmark-2,-1.0,-1.0,-1,2,8
119,benchmark-2,-1.0,-1.0,-1,2,9
120,benchmark-20,-1.0,-1.0,-1,2,0
121,benchmark-20,-1.0,-1.0,-1,2,1
122,benchmark-20,-1.0,-1.0,-1,2,2
123,benchmark-20,-1.0,-1.0,-1,2,3
124,benchmark-20,-1.0,-1.0,-1,2,4
125,benchmark-20,-1.0,-1.0,-1,2,5
126,benchmark-20,-1.0,-1.0,-1,2,6
127,benchmark-20,-1.0,-1.0,-1,2,7
128,benchmark-20,-1.0,-1.0,-1,2,8
129,benchmark-20,-1.0,-1.0,-1,2,9
130,benchmark-21,0.0030028820037841797,0.008507251739501953,3,4,0
131,benchmark-21,0.0025022029876708984,0.008507013320922852,3,4,1
132,benchmark-21,0.003002643585205078,0.008507728576660156,3,4,2
133,benchmark-21,0.002501964569091797,0.008006572723388672,3,4,3
134,benchmark-21,0.003002166748046875,0.00850677490234375,3,4,4
135,benchmark-21,0.0029990673065185547,0.008503198623657227,3,4,5
136,benchmark-21,0.003002643585205078,0.008507490158081055,3,4,6
137,benchmark-21,0.002501964569091797,0.00850677490234375,3,4,7
138,benchmark-21,0.0030028820037841797,0.008508443832397461,3,4,8
139,benchmark-21,0.0030031204223632812,0.009008407592773438,3,4,9
140,benchmark-22,0.003002643585205078,0.003002643585205078,1,4,0
141,benchmark-22,0.0025022029876708984,0.0025022029876708984,1,4,1
142,benchmark-22,0.0030024051666259766,0.0030024051666259766,1,4,2
143,benchmark-22,0.003001689910888672,0.003001689910888672,1,4,3
144,benchmark-22,0.0030019283294677734,0.0030019283294677734,1,4,4
145,benchmark-22,0.0030028820037841797,0.0030028820037841797,1,4,5
146,benchmark-22,0.0025098323822021484,0.0025098323822021484,1,4,6
147,benchmark-22,0.0025000572204589844,0.0025000572204589844,1,4,7
148,benchmark-22,0.003002643585205078,0.003002643585205078,1,4,8
149,benchmark-22,0.0030028820037841797,0.0030028820037841797,1,4,9
150,benchmark-23,-1.0,-1.0,-1,4,0
151,benchmark-23,-1.0,-1.0,-1,4,1
152,benchmark-23,-1.0,-1.0,-1,4,2
153,benchmark-23,-1.0,-1.0,-1,4,3
154,benchmark-23,-1.0,-1.0,-1,4,4
155,benchmark-23,-1.0,-1.0,-1,4,5
156,benchmark-23,-1.0,-1.0,-1,4,6
157,benchmark-23,-1.0,-1.0,-1,4,7
158,benchmark-23,-1.0,-1.0,-1,4,8
159,benchmark-23,-1.0,-1.0,-1,4,9
160,benchmark-24,-1.0,-1.0,-1,3,0
161,benchmark-24,-1.0,-1.0,-1,3,1
162,benchmark-24,-1.0,-1.0,-1,3,2
163,benchmark-24,-1.0,-1.0,-1,3,3
164,benchmark-24,-1.0,-1.0,-1,3,4
165,benchmark-24,-1.0,-1.0,-1,3,5
166,benchmark-24,-1.0,-1.0,-1,3,6
167,benchmark-24,-1.0,-1.0,-1,3,7
168,benchmark-24,-1.0,-1.0,-1,3,8
169,benchmark-24,-1.0,-1.0,-1,3,9
170,benchmark-25,-1.0,-1.0,-1,2,0
171,benchmark-25,-1.0,-1.0,-1,2,1
172,benchmark-25,-1.0,-1.0,-1,2,2
173,benchmark-25,-1.0,-1.0,-1,2,3
174,benchmark-25,-1.0,-1.0,-1,2,4
175,benchmark-25,-1.0,-1.0,-1,2,5
176,benchmark-25,-1.0,-1.0,-1,2,6
177,benchmark-25,-1.0,-1.0,-1,2,7
178,benchmark-25,-1.0,-1.0,-1,2,8
179,benchmark-25,-1.0,-1.0,-1,2,9
180,benchmark-26,-1.0,-1.0,-1,4,0
181,benchmark-26,-1.0,-1.0,-1,4,1
182,benchmark-26,-1.0,-1.0,-1,4,2
183,benchmark-26,-1.0,-1.0,-1,4,3
184,benchmark-26,-1.0,-1.0,-1,4,4
185,benchmark-26,-1.0,-1.0,-1,4,5
186,benchmark-26,-1.0,-1.0,-1,4,6
187,benchmark-26,-1.0,-1.0,-1,4,7
188,benchmark-26,-1.0,-1.0,-1,4,8
189,benchmark-26,-1.0,-1.0,-1,4,9
190,benchmark-27,-1.0,-1.0,-1,8,0
191,benchmark-27,-1.0,-1.0,-1,8,1
192,benchmark-27,-1.0,-1.0,-1,8,2
193,benchmark-27,-1.0,-1.0,-1,8,3
194,benchmark-27,-1.0,-1.0,-1,8,4
195,benchmark-27,-1.0,-1.0,-1,8,5
196,benchmark-27,-1.0,-1.0,-1,8,6
197,benchmark-27,-1.0,-1.0,-1,8,7
198,benchmark-27,-1.0,-1.0,-1,8,8
199,benchmark-27,-1.0,-1.0,-1,8,9
200,benchmark-3,-1.0,-1.0,-1,2,0
201,benchmark-3,-1.0,-1.0,-1,2,1
202,benchmark-3,-1.0,-1.0,-1,2,2
203,benchmark-3,-1.0,-1.0,-1,2,3
204,benchmark-3,-1.0,-1.0,-1,2,4
205,benchmark-3,-1.0,-1.0,-1,2,5
206,benchmark-3,-1.0,-1.0,-1,2,6
207,benchmark-3,-1.0,-1.0,-1,2,7
208,benchmark-3,-1.0,-1.0,-1,2,8
209,benchmark-3,-1.0,-1.0,-1,2,9
210,benchmark-4,-1.0,-1.0,-1,3,0
211,benchmark-4,-1.0,-1.0,-1,3,1
212,benchmark-4,-1.0,-1.0,-1,3,2
213,benchmark-4,-1.0,-1.0,-1,3,3
214,benchmark-4,-1.0,-1.0,-1,3,4
215,benchmark-4,-1.0,-1.0,-1,3,5
216,benchmark-4,-1.0,-1.0,-1,3,6
217,benchmark-4,-1.0,-1.0,-1,3,7
218,benchmark-4,-1.0,-1.0,-1,3,8
219,benchmark-4,-1.0,-1.0,-1,3,9
220,benchmark-5,-1.0,-1.0,-1,4,0
221,benchmark-5,-1.0,-1.0,-1,4,1
222,benchmark-5,-1.0,-1.0,-1,4,2
223,benchmark-5,-1.0,-1.0,-1,4,3
224,benchmark-5,-1.0,-1.0,-1,4,4
225,benchmark-5,-1.0,-1.0,-1,4,5
226,benchmark-5,-1.0,-1.0,-1,4,6
227,benchmark-5,-1.0,-1.0,-1,4,7
228,benchmark-5,-1.0,-1.0,-1,4,8
229,benchmark-5,-1.0,-1.0,-1,4,9
230,benchmark-6,-1.0,-1.0,-1,8,0
231,benchmark-6,-1.0,-1.0,-1,8,1
232,benchmark-6,-1.0,-1.0,-1,8,2
233,benchmark-6,-1.0,-1.0,-1,8,3
234,benchmark-6,-1.0,-1.0,-1,8,4
235,benchmark-6,-1.0,-1.0,-1,8,5
236,benchmark-6,-1.0,-1.0,-1,8,6
237,benchmark-6,-1.0,-1.0,-1,8,7
238,benchmark-6,-1.0,-1.0,-1,8,8
239,benchmark-6,-1.0,-1.0,-1,8,9
240,benchmark-7,-1.0,-1.0,-1,2,0
241,benchmark-7,-1.0,-1.0,-1,2,1
242,benchmark-7,-1.0,-1.0,-1,2,2
243,benchmark-7,-1.0,-1.0,-1,2,3
244,benchmark-7,-1.0,-1.0,-1,2,4
245,benchmark-7,-1.0,-1.0,-1,2,5
246,benchmark-7,-1.0,-1.0,-1,2,6
247,benchmark-7,-1.0,-1.0,-1,2,7
248,benchmark-7,-1.0,-1.0,-1,2,8
249,benchmark-7,-1.0,-1.0,-1,2,9
250,benchmark-8,-1.0,-1.0,-1,4,0
251,benchmark-8,-1.0,-1.0,-1,4,1
252,benchmark-8,-1.0,-1.0,-1,4,2
253,benchmark-8,-1.0,-1.0,-1,4,3
254,benchmark-8,-1.0,-1.0,-1,4,4
255,benchmark-8,-1.0,-1.0,-1,4,5
256,benchmark-8,-1.0,-1.0,-1,4,6
257,benchmark-8,-1.0,-1.0,-1,4,7
258,benchmark-8,-1.0,-1.0,-1,4,8
259,benchmark-8,-1.0,-1.0,-1,4,9
260,benchmark-9,-1.0,-1.0,-1,4,0
261,benchmark-9,-1.0,-1.0,-1,4,1
262,benchmark-9,-1.0,-1.0,-1,4,2
263,benchmark-9,-1.0,-1.0,-1,4,3
264,benchmark-9,-1.0,-1.0,-1,4,4
265,benchmark-9,-1.0,-1.0,-1,4,5
266,benchmark-9,-1.0,-1.0,-1,4,6
267,benchmark-9,-1.0,-1.0,-1,4,7
268,benchmark-9,-1.0,-1.0,-1,4,8
269,benchmark-9,-1.0,-1.0,-1,4,9
