,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.0030024051666259766,0.009007930755615234,4,2,0
1,benchmark-1,0.003002643585205078,0.00850820541381836,4,2,1
2,benchmark-1,0.0030024051666259766,0.008507251739501953,4,2,2
3,benchmark-1,0.003002643585205078,0.009007692337036133,4,2,3
4,benchmark-1,0.003002643585205078,0.008507728576660156,4,2,4
5,benchmark-1,0.003002643585205078,0.00901174545288086,4,2,5
6,benchmark-1,0.003002643585205078,0.008507251739501953,4,2,6
7,benchmark-1,0.003002166748046875,0.008507728576660156,4,2,7
8,benchmark-1,0.0030024051666259766,0.008507728576660156,4,2,8
9,benchmark-1,0.0030024051666259766,0.009006738662719727,4,2,9
10,benchmark-10,0.0030028820037841797,0.005004167556762695,2,4,0
11,benchmark-10,0.003002166748046875,0.004503011703491211,2,4,1
12,benchmark-10,0.003002643585205078,0.004504203796386719,2,4,2
13,benchmark-10,0.0030024051666259766,0.005004405975341797,2,4,3
14,benchmark-10,0.002501964569091797,0.004503726959228516,2,4,4
15,benchmark-10,0.003002643585205078,0.004503965377807617,2,4,5
16,benchmark-10,0.003002643585205078,0.005004167556762695,2,4,6
17,benchmark-10,0.003002643585205078,0.004503726959228516,2,4,7
18,benchmark-10,0.0030024051666259766,0.005004405975341797,2,4,8
19,benchmark-10,0.003002643585205078,0.004503726959228516,2,4,9
20,benchmark-11,0.004503726959228516,0.00900721549987793,3,4,0
21,benchmark-11,0.005004405975341797,0.009008407592773438,3,4,1
22,benchmark-11,0.004503965377807617,0.008507251739501953,3,4,2
23,benchmark-11,0.004503726959228516,0.009007453918457031,3,4,3
24,benchmark-11,0.004503726959228516,0.009007692337036133,3,4,4
25,benchmark-11,0.004504680633544922,0.009008646011352539,3,4,5
26,benchmark-11,0.004503965377807617,0.008507251739501953,3,4,6
27,benchmark-11,0.004503726959228516,0.008507728576660156,3,4,7
28,benchmark-11,0.004503965377807617,0.00850677490234375,3,4,8
29,benchmark-11,0.004503726959228516,0.008506298065185547,3,4,9
30,benchmark-12,0.003002643585205078,0.006505727767944336,3,6,0
31,benchmark-12,0.003003358840942383,0.006506443023681641,3,6,1
32,benchmark-12,0.003002643585205078,0.006505489349365234,3,6,2
33,benchmark-12,0.003002166748046875,0.00650477409362793,3,6,3
34,benchmark-12,0.002501964569091797,0.006004810333251953,3,6,4
35,benchmark-12,0.0030024051666259766,0.006505489349365234,3,6,5
36,benchmark-12,0.00250244140625,0.006005287170410156,3,6,6
37,benchmark-12,0.003002643585205078,0.006505727767944336,3,6,7
38,benchmark-12,0.003002643585205078,0.006505727767944336,3,6,8
39,benchmark-12,0.003002643585205078,0.0065059661865234375,3,6,9
40,benchmark-13,0.004503726959228516,0.013512134552001953,5,2,0
41,benchmark-13,0.005004167556762695,0.014512300491333008,5,2,1
42,benchmark-13,0.005004167556762695,0.014513492584228516,5,2,2
43,benchmark-13,0.0055048465728759766,0.015013456344604492,5,2,3
44,benchmark-13,0.005004405975341797,0.014512300491333008,5,2,4
45,benchmark-13,0.00450444221496582,0.012511968612670898,5,2,5
46,benchmark-13,0.005004405975341797,0.014512062072753906,5,2,6
47,benchmark-13,0.00550532341003418,0.01401209831237793,5,2,7
48,benchmark-13,0.005004167556762695,0.014512300491333008,5,2,8
49,benchmark-13,0.005004405975341797,0.015012264251708984,5,2,9
50,benchmark-14,0.003503084182739258,0.00950765609741211,4,2,0
51,benchmark-14,0.0035026073455810547,0.010007858276367188,4,2,1
52,benchmark-14,0.003503084182739258,0.010009288787841797,4,2,2
53,benchmark-14,0.0035028457641601562,0.009508609771728516,4,2,3
54,benchmark-14,0.003503084182739258,0.010008573532104492,4,2,4
55,benchmark-14,0.0035028457641601562,0.010008096694946289,4,2,5
56,benchmark-14,0.003503084182739258,0.009508848190307617,4,2,6
57,benchmark-14,0.003503084182739258,0.00950765609741211,4,2,7
58,benchmark-14,0.0035033226013183594,0.009008646011352539,4,2,8
59,benchmark-14,0.004003286361694336,0.010509252548217773,4,2,9
60,benchmark-15,0.017014741897583008,0.05504775047302246,8,2,0
61,benchmark-15,0.017515182495117188,0.055547475814819336,8,2,1
62,benchmark-15,0.017014503479003906,0.05454707145690918,8,2,2
63,benchmark-15,0.017014741897583008,0.05604839324951172,8,2,3
64,benchmark-15,0.016514062881469727,0.053546905517578125,8,2,4
65,benchmark-15,0.016013383865356445,0.05254483222961426,8,2,5
66,benchmark-15,0.016514062881469727,0.054045677185058594,8,2,6
67,benchmark-15,0.016514301300048828,0.05354595184326172,8,2,7
68,benchmark-15,0.017014503479003906,0.05454587936401367,8,2,8
69,benchmark-15,0.016514062881469727,0.05354595184326172,8,2,9
70,benchmark-16,0.003002166748046875,0.01100778579711914,5,2,0
71,benchmark-16,0.0035028457641601562,0.010509014129638672,5,2,1
72,benchmark-16,0.0035028457641601562,0.010509014129638672,5,2,2
73,benchmark-16,0.0035028457641601562,0.010509490966796875,5,2,3
74,benchmark-16,0.003503084182739258,0.010509252548217773,5,2,4
75,benchmark-16,0.003503084182739258,0.011508941650390625,5,2,5
76,benchmark-16,0.003503084182739258,0.010509014129638672,5,2,6
77,benchmark-16,0.003503084182739258,0.010508060455322266,5,2,7
78,benchmark-16,0.0035028457641601562,0.011008501052856445,5,2,8
79,benchmark-16,0.0035028457641601562,0.010509252548217773,5,2,9
80,benchmark-17,0.004003763198852539,0.011009931564331055,4,2,0
81,benchmark-17,0.0040035247802734375,0.010509967803955078,4,2,1
82,benchmark-17,0.0035033226013183594,0.010509014129638672,4,2,2
83,benchmark-17,0.0035028457641601562,0.010008573532104492,4,2,3
84,benchmark-17,0.003503084182739258,0.010008573532104492,4,2,4
85,benchmark-17,0.0035028457641601562,0.010008096694946289,4,2,5
86,benchmark-17,0.003503084182739258,0.01000833511352539,4,2,6
87,benchmark-17,0.004003763198852539,0.010009288787841797,4,2,7
88,benchmark-17,0.0035028457641601562,0.010509014129638672,4,2,8
89,benchmark-17,0.0035033226013183594,0.010508060455322266,4,2,9
90,benchmark-18,0.007506370544433594,0.033529043197631836,9,2,0
91,benchmark-18,0.007506608963012695,0.03352856636047363,9,2,1
92,benchmark-18,0.007005929946899414,0.0320277214050293,9,2,2
93,benchmark-18,0.007005929946899414,0.032027482986450195,9,2,3
94,benchmark-18,0.007005929946899414,0.033528804779052734,9,2,4
95,benchmark-18,0.007506370544433594,0.03402876853942871,9,2,5
96,benchmark-18,0.007506608963012695,0.034027814865112305,9,2,6
97,benchmark-18,0.007506132125854492,0.03302764892578125,9,2,7
98,benchmark-18,0.007005929946899414,0.03402900695800781,9,2,8
99,benchmark-18,0.007506608963012695,0.03352832794189453,9,2,9
100,benchmark-19,0.012010574340820312,0.0685584545135498,12,2,0
101,benchmark-19,0.012009859085083008,0.06655478477478027,12,2,1
102,benchmark-19,0.01201009750366211,0.06752252578735352,12,2,2
103,benchmark-19,0.011509895324707031,0.0660557746887207,12,2,3
104,benchmark-19,0.011510372161865234,0.06805872917175293,12,2,4
105,benchmark-19,0.011510133743286133,0.06705641746520996,12,2,5
106,benchmark-19,0.012009859085083008,0.06755638122558594,12,2,6
107,benchmark-19,0.011509895324707031,0.06555628776550293,12,2,7
108,benchmark-19,0.011009454727172852,0.06555557250976562,12,2,8
109,benchmark-19,0.011509895324707031,0.06705832481384277,12,2,9
110,benchmark-2,0.002501964569091797,0.0060045719146728516,3,2,0
111,benchmark-2,0.0025022029876708984,0.005505561828613281,3,2,1
112,benchmark-2,0.002501964569091797,0.0055043697357177734,3,2,2
113,benchmark-2,0.0025017261505126953,0.005503654479980469,3,2,3
114,benchmark-2,0.002501964569091797,0.006004810333251953,3,2,4
115,benchmark-2,0.00250244140625,0.006005287170410156,3,2,5
116,benchmark-2,0.003002643585205078,0.006504535675048828,3,2,6
117,benchmark-2,0.002501964569091797,0.006004810333251953,3,2,7
118,benchmark-2,0.002501964569091797,0.006005048751831055,3,2,8
119,benchmark-2,0.003002166748046875,0.006005525588989258,3,2,9
120,benchmark-20,0.003503084182739258,0.011011362075805664,5,2,0
121,benchmark-20,0.0035028457641601562,0.011008977890014648,5,2,1
122,benchmark-20,0.0035026073455810547,0.011508941650390625,5,2,2
123,benchmark-20,0.0035028457641601562,0.011008739471435547,5,2,3
124,benchmark-20,0.0035028457641601562,0.01201009750366211,5,2,4
125,benchmark-20,0.0035033226013183594,0.01100921630859375,5,2,5
126,benchmark-20,0.0035028457641601562,0.011009454727172852,5,2,6
127,benchmark-20,0.0035028457641601562,0.011008739471435547,5,2,7
128,benchmark-20,0.003503561019897461,0.01100921630859375,5,2,8
129,benchmark-20,0.003503084182739258,0.01101064682006836,5,2,9
130,benchmark-21,0.005004405975341797,0.010008573532104492,3,4,0
131,benchmark-21,0.005504608154296875,0.010509014129638672,3,4,1
132,benchmark-21,0.0055048465728759766,0.01050877571105957,3,4,2
133,benchmark-21,0.0055043697357177734,0.01050877571105957,3,4,3
134,benchmark-21,0.005505084991455078,0.010509014129638672,3,4,4
135,benchmark-21,0.0055043697357177734,0.01046299934387207,3,4,5
136,benchmark-21,0.005504608154296875,0.011009931564331055,3,4,6
137,benchmark-21,0.005003929138183594,0.009508132934570312,3,4,7
138,benchmark-21,0.005003690719604492,0.009006261825561523,3,4,8
139,benchmark-21,0.005004405975341797,0.01000833511352539,3,4,9
140,benchmark-22,0.0020017623901367188,0.0020017623901367188,1,4,0
141,benchmark-22,0.001500844955444336,0.001500844955444336,1,4,1
142,benchmark-22,0.0020017623901367188,0.0020017623901367188,1,4,2
143,benchmark-22,0.001501321792602539,0.001501321792602539,1,4,3
144,benchmark-22,0.002001523971557617,0.002001523971557617,1,4,4
145,benchmark-22,0.0020017623901367188,0.0020017623901367188,1,4,5
146,benchmark-22,0.001501321792602539,0.001501321792602539,1,4,6
147,benchmark-22,0.0020012855529785156,0.0020012855529785156,1,4,7
148,benchmark-22,0.0015015602111816406,0.0015015602111816406,1,4,8
149,benchmark-22,0.002001523971557617,0.002001523971557617,1,4,9
150,benchmark-23,0.011509895324707031,0.0295259952545166,5,4,0
151,benchmark-23,0.011509895324707031,0.029025793075561523,5,4,1
152,benchmark-23,0.011509895324707031,0.029024362564086914,5,4,2
153,benchmark-23,0.01150965690612793,0.028523921966552734,5,4,3
154,benchmark-23,0.012010335922241211,0.0295259952545166,5,4,4
155,benchmark-23,0.012010574340820312,0.03002619743347168,5,4,5
156,benchmark-23,0.01150965690612793,0.029525041580200195,5,4,6
157,benchmark-23,0.012010335922241211,0.030025959014892578,5,4,7
158,benchmark-23,0.012010335922241211,0.030526161193847656,5,4,8
159,benchmark-23,0.01251077651977539,0.031026840209960938,5,4,9
160,benchmark-24,0.004503726959228516,0.010509014129638672,4,3,0
161,benchmark-24,0.0040035247802734375,0.010509967803955078,4,3,1
162,benchmark-24,0.00450444221496582,0.011009454727172852,4,3,2
163,benchmark-24,0.0040035247802734375,0.010009050369262695,4,3,3
164,benchmark-24,0.0040035247802734375,0.010509729385375977,4,3,4
165,benchmark-24,0.004003286361694336,0.010508537292480469,4,3,5
166,benchmark-24,0.004002809524536133,0.010007858276367188,4,3,6
167,benchmark-24,0.0040035247802734375,0.01050877571105957,4,3,7
168,benchmark-24,0.0040035247802734375,0.009508371353149414,4,3,8
169,benchmark-24,0.004003047943115234,0.009507417678833008,4,3,9
170,benchmark-25,0.018015384674072266,0.11860179901123047,15,2,0
171,benchmark-25,0.018515825271606445,0.11610126495361328,15,2,1
172,benchmark-25,0.01801586151123047,0.11710071563720703,15,2,2
173,benchmark-25,0.018515825271606445,0.11763763427734375,15,2,3
174,benchmark-25,0.018015623092651367,0.11910343170166016,15,2,4
175,benchmark-25,0.018516063690185547,0.11860060691833496,15,2,5
176,benchmark-25,0.01751542091369629,0.11635708808898926,15,2,6
177,benchmark-25,0.018015384674072266,0.11459898948669434,15,2,7
178,benchmark-25,0.017514944076538086,0.11609959602355957,15,2,8
179,benchmark-25,0.018015384674072266,0.11710047721862793,15,2,9
180,benchmark-26,0.006005525588989258,0.015513896942138672,5,4,0
