,benchmark,solution_time,calculation_time,solution_horizon,number_of_robots,attempt
48,benchmark-13,0.0035021305084228516,0.013510704040527344,5,2,8
49,benchmark-13,0.004504203796386719,0.01551198959350586,5,2,9
50,benchmark-14,0.004504203796386719,0.013511896133422852,4,2,0
51,benchmark-14,0.005004405975341797,0.01401209831237793,4,2,1
52,benchmark-14,0.004503726959228516,0.013011455535888672,4,2,2
53,benchmark-14,0.005003929138183594,0.01401209831237793,4,2,3
54,benchmark-14,0.004503726959228516,0.013010263442993164,4,2,4
55,benchmark-14,0.0045032501220703125,0.013010978698730469,4,2,5
56,benchmark-14,0.005004167556762695,0.013511180877685547,4,2,6
57,benchmark-14,0.005004405975341797,0.014012813568115234,4,2,7
58,benchmark-14,0.004503965377807617,0.01301121711730957,4,2,8
59,benchmark-14,0.004503965377807617,0.01351308822631836,4,2,9
60,benchmark-15,0.009508609771728516,0.0345304012298584,8,2,0
61,benchmark-15,0.009007692337036133,0.034029245376586914,8,2,1
62,benchmark-15,0.011510133743286133,0.03653097152709961,8,2,2
63,benchmark-15,0.009508371353149414,0.03352928161621094,8,2,3
64,benchmark-15,0.009508132934570312,0.03352999687194824,8,2,4
65,benchmark-15,0.009507894515991211,0.03452873229980469,8,2,5
66,benchmark-15,0.009508371353149414,0.03352856636047363,8,2,6
67,benchmark-15,0.009507894515991211,0.03502964973449707,8,2,7
68,benchmark-15,0.009508371353149414,0.03402996063232422,8,2,8
69,benchmark-15,0.010009050369262695,0.0345308780670166,8,2,9
70,benchmark-16,0.004003286361694336,0.014511823654174805,5,2,0
71,benchmark-16,0.0035028457641601562,0.01501154899597168,5,2,1
72,benchmark-16,0.004003286361694336,0.01501321792602539,5,2,2
73,benchmark-16,0.0040035247802734375,0.01601433753967285,5,2,3
74,benchmark-16,0.0040035247802734375,0.01601409912109375,5,2,4
75,benchmark-16,0.004004955291748047,0.015014410018920898,5,2,5
76,benchmark-16,0.004003286361694336,0.01701498031616211,5,2,6
77,benchmark-16,0.004003047943115234,0.015011310577392578,5,2,7
78,benchmark-16,0.004003047943115234,0.015013933181762695,5,2,8
79,benchmark-16,0.004003763198852539,0.016513824462890625,5,2,9
80,benchmark-17,0.0045032501220703125,0.013511180877685547,4,2,0
81,benchmark-17,0.0040035247802734375,0.013511896133422852,4,2,1
82,benchmark-17,0.004004001617431641,0.013512134552001953,4,2,2
83,benchmark-17,0.004003763198852539,0.013512611389160156,4,2,3
84,benchmark-17,0.004503965377807617,0.014012336730957031,4,2,4
85,benchmark-17,0.004003286361694336,0.013511180877685547,4,2,5
86,benchmark-17,0.004003286361694336,0.013512611389160156,4,2,6
87,benchmark-17,0.0040035247802734375,0.013512134552001953,4,2,7
88,benchmark-17,0.004003286361694336,0.01401209831237793,4,2,8
89,benchmark-17,0.004003286361694336,0.013010501861572266,4,2,9
90,benchmark-18,-1.0,-1.0,-1,2,0
91,benchmark-19,-1.0,-1.0,-1,2,0
92,benchmark-2,0.0040035247802734375,0.009008169174194336,3,2,0
93,benchmark-2,0.003503084182739258,0.008507728576660156,3,2,1
94,benchmark-2,0.0035026073455810547,0.009007692337036133,3,2,2
95,benchmark-2,0.0035026073455810547,0.009007930755615234,3,2,3
96,benchmark-2,0.003503084182739258,0.009007692337036133,3,2,4
97,benchmark-2,0.0035028457641601562,0.008507251739501953,3,2,5
98,benchmark-2,0.003503084182739258,0.009007453918457031,3,2,6
99,benchmark-2,0.0035028457641601562,0.008507013320922852,3,2,7
100,benchmark-2,0.0035033226013183594,0.008006811141967773,3,2,8
101,benchmark-2,0.0035033226013183594,0.008007049560546875,3,2,9
102,benchmark-20,0.0040018558502197266,0.015511274337768555,5,2,0
103,benchmark-20,0.003503084182739258,0.015013933181762695,5,2,1
104,benchmark-20,0.0040035247802734375,0.015513420104980469,5,2,2
105,benchmark-20,0.0040035247802734375,0.016014814376831055,5,2,3
106,benchmark-20,0.004004001617431641,0.015514135360717773,5,2,4
107,benchmark-20,0.004004001617431641,0.015513181686401367,5,2,5
108,benchmark-20,0.0035028457641601562,0.015513420104980469,5,2,6
109,benchmark-20,0.003503084182739258,0.015513181686401367,5,2,7
110,benchmark-20,0.004003047943115234,0.016013383865356445,5,2,8
111,benchmark-20,0.0040035247802734375,0.016514301300048828,5,2,9
112,benchmark-21,0.00250244140625,0.007506847381591797,3,4,0
113,benchmark-21,0.003002166748046875,0.008006572723388672,3,4,1
114,benchmark-21,0.002501964569091797,0.007506608963012695,3,4,2
115,benchmark-21,0.0025026798248291016,0.007506847381591797,3,4,3
116,benchmark-21,0.003002166748046875,0.007505655288696289,3,4,4
117,benchmark-21,0.00250244140625,0.007006406784057617,3,4,5
118,benchmark-21,0.003002166748046875,0.007506370544433594,3,4,6
119,benchmark-21,0.003002643585205078,0.007506132125854492,3,4,7
120,benchmark-21,0.0025017261505126953,0.007506370544433594,3,4,8
121,benchmark-21,0.0030024051666259766,0.008006811141967773,3,4,9
122,benchmark-22,0.0025014877319335938,0.0025014877319335938,1,4,0
123,benchmark-22,0.00250244140625,0.00250244140625,1,4,1
124,benchmark-22,0.00250244140625,0.00250244140625,1,4,2
125,benchmark-22,0.003002643585205078,0.003002643585205078,1,4,3
126,benchmark-22,0.0030024051666259766,0.0030024051666259766,1,4,4
127,benchmark-22,0.0025017261505126953,0.0025017261505126953,1,4,5
128,benchmark-22,0.0025022029876708984,0.0025022029876708984,1,4,6
129,benchmark-22,0.0025017261505126953,0.0025017261505126953,1,4,7
130,benchmark-22,0.00250244140625,0.00250244140625,1,4,8
131,benchmark-22,0.0025022029876708984,0.0025022029876708984,1,4,9
132,benchmark-23,0.008007049560546875,0.028024673461914062,5,4,0
133,benchmark-23,0.00850677490234375,0.029024839401245117,5,4,1
134,benchmark-23,0.008507251739501953,0.029024839401245117,5,4,2
135,benchmark-23,0.00900721549987793,0.02952432632446289,5,4,3
136,benchmark-23,0.00800633430480957,0.02852344512939453,5,4,4
137,benchmark-23,0.008507490158081055,0.029526233673095703,5,4,5
138,benchmark-23,0.008007049560546875,0.029024839401245117,5,4,6
139,benchmark-23,0.008006095886230469,0.028482675552368164,5,4,7
140,benchmark-23,0.009007692337036133,0.030025720596313477,5,4,8
141,benchmark-23,0.008507490158081055,0.0295257568359375,5,4,9
142,benchmark-24,0.004003763198852539,0.012010812759399414,4,3,0
143,benchmark-24,0.003503084182739258,0.01201009750366211,4,3,1
144,benchmark-24,0.0035033226013183594,0.011510133743286133,4,3,2
145,benchmark-24,0.0035026073455810547,0.011509895324707031,4,3,3
146,benchmark-24,0.003503084182739258,0.011009693145751953,4,3,4
147,benchmark-24,0.0035028457641601562,0.011509180068969727,4,3,5
148,benchmark-24,0.0035033226013183594,0.012010812759399414,4,3,6
149,benchmark-24,0.004003763198852539,0.012511014938354492,4,3,7
150,benchmark-24,0.003665924072265625,0.012173175811767578,4,3,8
151,benchmark-24,0.004004001617431641,0.012511253356933594,4,3,9
152,benchmark-25,-1.0,-1.0,-1,2,0
153,benchmark-26,0.005505084991455078,0.019017696380615234,5,4,0
154,benchmark-26,0.0055043697357177734,0.0195157527923584,5,4,1
155,benchmark-26,0.005504608154296875,0.01901555061340332,5,4,2
156,benchmark-26,0.005502939224243164,0.01851487159729004,5,4,3
157,benchmark-26,0.005004405975341797,0.018515825271606445,5,4,4
158,benchmark-26,0.0050046443939208984,0.01801466941833496,5,4,5
159,benchmark-26,0.005004405975341797,0.019015789031982422,5,4,6
160,benchmark-26,0.005003929138183594,0.01751542091369629,5,4,7
161,benchmark-26,0.005504131317138672,0.018514633178710938,5,4,8
162,benchmark-26,0.005004167556762695,0.01851654052734375,5,4,9
163,benchmark-27,-1.0,-1.0,-1,8,0
164,benchmark-28,0.0020017623901367188,0.006505489349365234,3,2,0
165,benchmark-28,0.0025022029876708984,0.007006406784057617,3,2,1
166,benchmark-28,0.00250244140625,0.007006168365478516,3,2,2
167,benchmark-28,0.0025017261505126953,0.006505727767944336,3,2,3
168,benchmark-28,0.0025017261505126953,0.00650477409362793,3,2,4
169,benchmark-28,0.002501964569091797,0.006506204605102539,3,2,5
170,benchmark-28,0.002501964569091797,0.007506370544433594,3,2,6
171,benchmark-28,0.0020024776458740234,0.006506443023681641,3,2,7
172,benchmark-28,0.002501964569091797,0.007005453109741211,3,2,8
173,benchmark-28,0.002501964569091797,0.006505250930786133,3,2,9
174,benchmark-29,0.003002643585205078,0.012510061264038086,5,3,0
175,benchmark-29,0.0025022029876708984,0.012511014938354492,5,3,1
176,benchmark-29,0.002501964569091797,0.01301121711730957,5,3,2
177,benchmark-29,0.0020020008087158203,0.012010574340820312,5,3,3
178,benchmark-29,0.0030028820037841797,0.013512611389160156,5,3,4
179,benchmark-29,0.0025017261505126953,0.013011455535888672,5,3,5
180,benchmark-29,0.0025026798248291016,0.013011693954467773,5,3,6
181,benchmark-29,0.002502918243408203,0.012511491775512695,5,3,7
182,benchmark-29,0.002501964569091797,0.012511253356933594,5,3,8
183,benchmark-29,0.0025022029876708984,0.012011051177978516,5,3,9
184,benchmark-3,-1.0,-1.0,-1,2,0
185,benchmark-30,0.0035028457641601562,0.02301931381225586,7,3,0
186,benchmark-30,0.0035037994384765625,0.02452254295349121,7,3,1
187,benchmark-30,0.0035028457641601562,0.025020599365234375,7,3,2
188,benchmark-30,0.0035028457641601562,0.02202010154724121,7,3,3
189,benchmark-30,0.003503084182739258,0.023020029067993164,7,3,4
190,benchmark-30,0.003002643585205078,0.025524139404296875,7,3,5
191,benchmark-30,0.003503084182739258,0.023519515991210938,7,3,6
192,benchmark-30,0.0035028457641601562,0.022019624710083008,7,3,7
193,benchmark-30,0.003002166748046875,0.022517681121826172,7,3,8
194,benchmark-30,0.003503084182739258,0.02351999282836914,7,3,9
195,benchmark-31,0.009006977081298828,0.026021957397460938,5,3,0
196,benchmark-31,0.008507728576660156,0.025522708892822266,5,3,1
197,benchmark-31,0.008507490158081055,0.025022029876708984,5,3,2
198,benchmark-31,0.009007453918457031,0.026522159576416016,5,3,3
199,benchmark-31,0.009007692337036133,0.026021957397460938,5,3,4
200,benchmark-31,0.009007453918457031,0.0270230770111084,5,3,5
201,benchmark-31,0.009007692337036133,0.028023958206176758,5,3,6
202,benchmark-31,0.009007453918457031,0.0270235538482666,5,3,7
203,benchmark-31,0.008507966995239258,0.02552342414855957,5,3,8
204,benchmark-31,0.008507966995239258,0.025522708892822266,5,3,9
205,benchmark-32,0.003503084182739258,0.006005525588989258,2,3,0
206,benchmark-32,0.004004001617431641,0.006005764007568359,2,3,1
207,benchmark-32,0.0030024051666259766,0.005504608154296875,2,3,2
208,benchmark-32,0.003502368927001953,0.0060045719146728516,2,3,3
209,benchmark-32,0.0035033226013183594,0.006005764007568359,2,3,4
210,benchmark-32,0.0030024051666259766,0.0055043697357177734,2,3,5
211,benchmark-32,0.0030024051666259766,0.0055043697357177734,2,3,6
212,benchmark-32,0.003002643585205078,0.0055048465728759766,2,3,7
213,benchmark-32,0.0035026073455810547,0.0060045719146728516,2,3,8
214,benchmark-32,0.003002643585205078,0.00550532341003418,2,3,9
215,benchmark-33,0.0025026798248291016,0.009008646011352539,4,3,0
216,benchmark-33,0.00250244140625,0.00950765609741211,4,3,1
217,benchmark-33,0.002501964569091797,0.010008096694946289,4,3,2
218,benchmark-33,0.002501964569091797,0.009007692337036133,4,3,3
219,benchmark-33,0.0025010108947753906,0.009506940841674805,4,3,4
220,benchmark-33,0.0030024051666259766,0.010508537292480469,4,3,5
221,benchmark-33,0.0025022029876708984,0.010009765625,4,3,6
222,benchmark-33,0.0025022029876708984,0.009508371353149414,4,3,7
223,benchmark-33,0.0025022029876708984,0.010008811950683594,4,3,8
