,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
159,benchmark-23,0.012010335922241211,0.0320279598236084,5,4,9
160,benchmark-24,0.0045032501220703125,0.01201009750366211,4,3,0
161,benchmark-24,0.004003286361694336,0.01150965690612793,4,3,1
162,benchmark-24,0.004003047943115234,0.01201009750366211,4,3,2
163,benchmark-24,0.004503965377807617,0.013011455535888672,4,3,3
164,benchmark-24,0.004003763198852539,0.012011051177978516,4,3,4
165,benchmark-24,0.0040035247802734375,0.012010812759399414,4,3,5
166,benchmark-24,0.004003763198852539,0.012511968612670898,4,3,6
167,benchmark-24,0.005505561828613281,0.013512372970581055,4,3,7
168,benchmark-24,0.0040035247802734375,0.012010812759399414,4,3,8
169,benchmark-24,0.004503726959228516,0.01251077651977539,4,3,9
170,benchmark-25,0.01601386070251465,0.1087040901184082,15,2,0
171,benchmark-25,0.016514062881469727,0.10509109497070312,15,2,1
172,benchmark-25,0.017014503479003906,0.10909533500671387,15,2,2
173,benchmark-25,0.01701498031616211,0.10959339141845703,15,2,3
174,benchmark-25,0.019516468048095703,0.11309599876403809,15,2,4
175,benchmark-25,0.016513824462890625,0.11050558090209961,15,2,5
176,benchmark-25,0.017514944076538086,0.11609888076782227,15,2,6
177,benchmark-25,0.017514467239379883,0.10959315299987793,15,2,7
178,benchmark-25,0.020017147064208984,0.12073349952697754,15,2,8
179,benchmark-25,0.017014741897583008,0.11109519004821777,15,2,9
180,benchmark-26,0.0030024051666259766,0.014206886291503906,5,4,0
181,benchmark-26,0.003503561019897461,0.014011859893798828,5,4,1
182,benchmark-26,0.0035033226013183594,0.013512372970581055,5,4,2
183,benchmark-26,0.003503084182739258,0.014011621475219727,5,4,3
184,benchmark-26,0.0035028457641601562,0.014012575149536133,5,4,4
185,benchmark-26,0.0035028457641601562,0.013934612274169922,5,4,5
186,benchmark-26,0.0035028457641601562,0.014512777328491211,5,4,6
187,benchmark-26,0.0035033226013183594,0.014512777328491211,5,4,7
188,benchmark-26,0.0035033226013183594,0.015514612197875977,5,4,8
