,benchmark,solution_time,calculation_time,solution_horizon,number_of_robots,attempt
0,benchmark-1,0.004003763198852539,0.012011289596557617,4,2,
1,benchmark-1,0.0040035247802734375,0.012011289596557617,4,2,
2,benchmark-1,0.004004240036010742,0.012011289596557617,4,2,
3,benchmark-1,0.004003286361694336,0.012011289596557617,4,2,
4,benchmark-1,0.004503965377807617,0.012011289596557617,4,2,
5,benchmark-1,0.004503965377807617,0.012011289596557617,4,2,
6,benchmark-1,0.004503488540649414,0.012011289596557617,4,2,
7,benchmark-1,0.004504203796386719,0.012011289596557617,4,2,
8,benchmark-1,0.004003286361694336,0.012011289596557617,4,2,
9,benchmark-1,0.004503965377807617,0.012011289596557617,4,2,
10,benchmark-10,0.00250244140625,0.005004405975341797,2,4,
11,benchmark-10,0.002501964569091797,0.005004405975341797,2,4,
12,benchmark-10,0.00250244140625,0.005004405975341797,2,4,
13,benchmark-10,0.0020017623901367188,0.005004405975341797,2,4,
14,benchmark-10,0.0025014877319335938,0.005004405975341797,2,4,
15,benchmark-10,0.003002643585205078,0.005004405975341797,2,4,
16,benchmark-10,0.0030031204223632812,0.005004405975341797,2,4,
17,benchmark-10,0.0025022029876708984,0.005004405975341797,2,4,
18,benchmark-10,0.00250244140625,0.005004405975341797,2,4,
19,benchmark-10,0.002501964569091797,0.005004405975341797,2,4,
20,benchmark-11,0.006005525588989258,0.013011693954467773,3,4,
21,benchmark-11,0.006005287170410156,0.013011693954467773,3,4,
22,benchmark-11,0.006005764007568359,0.013011693954467773,3,4,
23,benchmark-11,0.006004810333251953,0.013011693954467773,3,4,
24,benchmark-11,0.006005048751831055,0.013011693954467773,3,4,
25,benchmark-11,0.0055048465728759766,0.013011693954467773,3,4,
26,benchmark-11,0.005504608154296875,0.013011693954467773,3,4,
27,benchmark-11,0.006005525588989258,0.013011693954467773,3,4,
28,benchmark-11,0.0055048465728759766,0.013011693954467773,3,4,
29,benchmark-11,0.006505489349365234,0.013011693954467773,3,4,
30,benchmark-12,0.0025022029876708984,0.007506847381591797,3,6,
31,benchmark-12,0.0025017261505126953,0.007506847381591797,3,6,
32,benchmark-12,0.002501964569091797,0.007506847381591797,3,6,
33,benchmark-12,0.002002239227294922,0.007506847381591797,3,6,
34,benchmark-12,0.0025017261505126953,0.007506847381591797,3,6,
35,benchmark-12,0.002501964569091797,0.007506847381591797,3,6,
36,benchmark-12,0.0025022029876708984,0.007506847381591797,3,6,
37,benchmark-12,0.0025022029876708984,0.007506847381591797,3,6,
38,benchmark-12,0.003503561019897461,0.007506847381591797,3,6,
39,benchmark-12,0.0035033226013183594,0.007506847381591797,3,6,
40,benchmark-13,0.0050048828125,0.027523040771484375,7,2,
41,benchmark-13,0.0040035247802734375,0.027523040771484375,7,2,
42,benchmark-13,0.004504203796386719,0.027523040771484375,7,2,
43,benchmark-13,0.004503726959228516,0.027523040771484375,7,2,
44,benchmark-13,0.005004405975341797,0.027523040771484375,7,2,
45,benchmark-13,0.0040035247802734375,0.027523040771484375,7,2,
46,benchmark-13,0.004002809524536133,0.027523040771484375,7,2,
47,benchmark-13,0.005004405975341797,0.027523040771484375,7,2,
48,benchmark-13,0.004503488540649414,0.027523040771484375,7,2,
49,benchmark-13,0.004003763198852539,0.027523040771484375,7,2,
50,benchmark-14,0.0040035247802734375,0.01351165771484375,4,2,
51,benchmark-14,0.0035028457641601562,0.01351165771484375,4,2,
52,benchmark-14,0.0040035247802734375,0.01351165771484375,4,2,
53,benchmark-14,0.005005359649658203,0.01351165771484375,4,2,
54,benchmark-14,0.0035026073455810547,0.01351165771484375,4,2,
55,benchmark-14,0.003503084182739258,0.01351165771484375,4,2,
56,benchmark-14,0.0035028457641601562,0.01351165771484375,4,2,
57,benchmark-14,0.003503561019897461,0.01351165771484375,4,2,
58,benchmark-14,0.0035026073455810547,0.01351165771484375,4,2,
59,benchmark-14,0.0030024051666259766,0.01351165771484375,4,2,
60,benchmark-15,0.010509252548217773,0.04503655433654785,10,2,
61,benchmark-15,0.011510133743286133,0.04503655433654785,10,2,
62,benchmark-15,0.009508132934570312,0.04503655433654785,10,2,
63,benchmark-15,0.011008977890014648,0.04503655433654785,10,2,
64,benchmark-15,0.009507894515991211,0.04503655433654785,10,2,
65,benchmark-15,0.010509014129638672,0.04503655433654785,10,2,
66,benchmark-15,0.009507894515991211,0.04503655433654785,10,2,
67,benchmark-15,0.011009693145751953,0.04503655433654785,10,2,
68,benchmark-15,0.01000833511352539,0.04503655433654785,10,2,
69,benchmark-15,0.01000833511352539,0.04503655433654785,10,2,
70,benchmark-16,0.004504203796386719,0.01501321792602539,5,2,
71,benchmark-16,0.006005525588989258,0.01501321792602539,5,2,
72,benchmark-16,0.0055043697357177734,0.01501321792602539,5,2,
73,benchmark-16,0.004503488540649414,0.01501321792602539,5,2,
74,benchmark-16,0.00550532341003418,0.01501321792602539,5,2,
75,benchmark-16,0.005004167556762695,0.01501321792602539,5,2,
76,benchmark-16,0.005004405975341797,0.01501321792602539,5,2,
77,benchmark-16,0.004503488540649414,0.01501321792602539,5,2,
78,benchmark-16,0.0045032501220703125,0.01501321792602539,5,2,
79,benchmark-16,0.005004405975341797,0.01501321792602539,5,2,
80,benchmark-17,0.005505084991455078,0.014512777328491211,4,2,
81,benchmark-17,0.004503726959228516,0.014512777328491211,4,2,
82,benchmark-17,0.0050046443939208984,0.014512777328491211,4,2,
83,benchmark-17,0.005004167556762695,0.014512777328491211,4,2,
84,benchmark-17,0.005505084991455078,0.014512777328491211,4,2,
85,benchmark-17,0.005004405975341797,0.014512777328491211,4,2,
86,benchmark-17,0.005004167556762695,0.014512777328491211,4,2,
87,benchmark-17,0.007506370544433594,0.014512777328491211,4,2,
88,benchmark-17,0.0055043697357177734,0.014512777328491211,4,2,
89,benchmark-17,0.00550532341003418,0.014512777328491211,4,2,
