,benchmark,solution_time,calculation_time,solution_horizon,number_of_robots,attempt
90,benchmark-18,0.006505489349365234,0.03102731704711914,9,2,
91,benchmark-18,0.007006168365478516,0.03102731704711914,9,2,
92,benchmark-18,0.0075070858001708984,0.03102731704711914,9,2,
93,benchmark-18,0.0070056915283203125,0.03102731704711914,9,2,
94,benchmark-18,0.007006168365478516,0.03102731704711914,9,2,
95,benchmark-18,0.007506608963012695,0.03102731704711914,9,2,
96,benchmark-18,0.007005929946899414,0.03102731704711914,9,2,
97,benchmark-18,0.007006168365478516,0.03102731704711914,9,2,
98,benchmark-18,0.007006168365478516,0.03102731704711914,9,2,
99,benchmark-18,0.007005929946899414,0.03102731704711914,9,2,
100,benchmark-19,0.010509014129638672,0.06255316734313965,12,2,
101,benchmark-19,0.012010812759399414,0.06255316734313965,12,2,
102,benchmark-19,0.01150965690612793,0.06255316734313965,12,2,
103,benchmark-19,0.011009931564331055,0.06255316734313965,12,2,
104,benchmark-19,0.011509418487548828,0.06255316734313965,12,2,
105,benchmark-19,0.011009454727172852,0.06255316734313965,12,2,
106,benchmark-19,0.010508298873901367,0.06255316734313965,12,2,
107,benchmark-19,0.01100921630859375,0.06255316734313965,12,2,
108,benchmark-19,0.01150965690612793,0.06255316734313965,12,2,
109,benchmark-19,0.01100921630859375,0.06255316734313965,12,2,
110,benchmark-2,0.002501964569091797,0.006005525588989258,3,2,
111,benchmark-2,0.002501964569091797,0.006005525588989258,3,2,
112,benchmark-2,0.0020017623901367188,0.006005525588989258,3,2,
113,benchmark-2,0.00250244140625,0.006005525588989258,3,2,
114,benchmark-2,0.0025014877319335938,0.006005525588989258,3,2,
115,benchmark-2,0.00250244140625,0.006005525588989258,3,2,
116,benchmark-2,0.0025022029876708984,0.006005525588989258,3,2,
117,benchmark-2,0.0025022029876708984,0.006005525588989258,3,2,
118,benchmark-2,0.002501964569091797,0.006005525588989258,3,2,
119,benchmark-2,0.002501964569091797,0.006005525588989258,3,2,
120,benchmark-20,0.0035028457641601562,0.010009050369262695,5,2,
121,benchmark-20,0.003503084182739258,0.010009050369262695,5,2,
122,benchmark-20,0.0035028457641601562,0.010009050369262695,5,2,
123,benchmark-20,0.0030028820037841797,0.010009050369262695,5,2,
124,benchmark-20,0.003002643585205078,0.010009050369262695,5,2,
125,benchmark-20,0.004003047943115234,0.010009050369262695,5,2,
126,benchmark-20,0.0030024051666259766,0.010009050369262695,5,2,
127,benchmark-20,0.003503084182739258,0.010009050369262695,5,2,
128,benchmark-20,0.0035033226013183594,0.010009050369262695,5,2,
129,benchmark-20,0.003002643585205078,0.010009050369262695,5,2,
130,benchmark-21,0.0050048828125,0.009508848190307617,3,4,
131,benchmark-21,0.0050046443939208984,0.009508848190307617,3,4,
132,benchmark-21,0.005504608154296875,0.009508848190307617,3,4,
133,benchmark-21,0.0055048465728759766,0.009508848190307617,3,4,
134,benchmark-21,0.005003929138183594,0.009508848190307617,3,4,
135,benchmark-21,0.0055048465728759766,0.009508848190307617,3,4,
136,benchmark-21,0.005004405975341797,0.009508848190307617,3,4,
137,benchmark-21,0.005004405975341797,0.009508848190307617,3,4,
138,benchmark-21,0.005003929138183594,0.009508848190307617,3,4,
139,benchmark-21,0.0050046443939208984,0.009508848190307617,3,4,
140,benchmark-22,0.0015010833740234375,0.0015010833740234375,1,4,
141,benchmark-22,0.001501321792602539,0.0015010833740234375,1,4,
142,benchmark-22,0.0020020008087158203,0.0015010833740234375,1,4,
143,benchmark-22,0.002001523971557617,0.0015010833740234375,1,4,
144,benchmark-22,0.001501321792602539,0.0015010833740234375,1,4,
145,benchmark-22,0.0020020008087158203,0.0015010833740234375,1,4,
146,benchmark-22,0.001501321792602539,0.0015010833740234375,1,4,
147,benchmark-22,0.0015015602111816406,0.0015010833740234375,1,4,
148,benchmark-22,0.0020012855529785156,0.0015010833740234375,1,4,
149,benchmark-22,0.0020020008087158203,0.0015010833740234375,1,4,
150,benchmark-23,0.011510133743286133,0.028023481369018555,5,4,
151,benchmark-23,0.011509418487548828,0.028023481369018555,5,4,
152,benchmark-23,0.01150965690612793,0.028023481369018555,5,4,
153,benchmark-23,0.011510133743286133,0.028023481369018555,5,4,
154,benchmark-23,0.011510372161865234,0.028023481369018555,5,4,
155,benchmark-23,0.012009859085083008,0.028023481369018555,5,4,
156,benchmark-23,0.011008739471435547,0.028023481369018555,5,4,
157,benchmark-23,0.011009693145751953,0.028023481369018555,5,4,
158,benchmark-23,0.01150965690612793,0.028023481369018555,5,4,
159,benchmark-23,0.011009454727172852,0.028023481369018555,5,4,
160,benchmark-24,0.004503488540649414,0.010509014129638672,4,3,
161,benchmark-24,0.004004001617431641,0.010509014129638672,4,3,
162,benchmark-24,0.0035028457641601562,0.010509014129638672,4,3,
163,benchmark-24,0.004004001617431641,0.010509014129638672,4,3,
164,benchmark-24,0.004003763198852539,0.010509014129638672,4,3,
165,benchmark-24,0.003503561019897461,0.010509014129638672,4,3,
166,benchmark-24,0.004003763198852539,0.010509014129638672,4,3,
167,benchmark-24,0.0040035247802734375,0.010509014129638672,4,3,
168,benchmark-24,0.004003286361694336,0.010509014129638672,4,3,
169,benchmark-24,0.004003286361694336,0.010509014129638672,4,3,
170,benchmark-25,0.017515182495117188,0.11409902572631836,15,2,
171,benchmark-25,0.01701521873474121,0.11409902572631836,15,2,
172,benchmark-25,0.017515182495117188,0.11409902572631836,15,2,
173,benchmark-25,0.017515182495117188,0.11409902572631836,15,2,
174,benchmark-25,0.017014741897583008,0.11409902572631836,15,2,
175,benchmark-25,0.018014907836914062,0.11409902572631836,15,2,
176,benchmark-25,0.017014503479003906,0.11409902572631836,15,2,
177,benchmark-25,0.017514944076538086,0.11409902572631836,15,2,
178,benchmark-25,0.017514705657958984,0.11409902572631836,15,2,
179,benchmark-25,0.017014741897583008,0.11409902572631836,15,2,
180,benchmark-26,0.0055043697357177734,0.015015602111816406,5,4,
181,benchmark-26,0.005004405975341797,0.015015602111816406,5,4,
182,benchmark-26,0.0060045719146728516,0.015015602111816406,5,4,
183,benchmark-26,0.0055048465728759766,0.015015602111816406,5,4,
184,benchmark-26,0.0055048465728759766,0.015015602111816406,5,4,
185,benchmark-26,0.0055048465728759766,0.015015602111816406,5,4,
186,benchmark-26,0.005504608154296875,0.015015602111816406,5,4,
187,benchmark-26,0.005504131317138672,0.015015602111816406,5,4,
188,benchmark-26,0.006005048751831055,0.015015602111816406,5,4,
189,benchmark-26,0.006005048751831055,0.015015602111816406,5,4,
190,benchmark-27,0.17565083503723145,0.44287967681884766,8,8,
191,benchmark-27,0.1721477508544922,0.44287967681884766,8,8,
192,benchmark-27,0.17715239524841309,0.44287967681884766,8,8,
193,benchmark-27,0.17064666748046875,0.44287967681884766,8,8,
194,benchmark-27,0.17364835739135742,0.44287967681884766,8,8,
195,benchmark-27,0.17314863204956055,0.44287967681884766,8,8,
196,benchmark-27,0.1766517162322998,0.44287967681884766,8,8,
197,benchmark-27,0.1716475486755371,0.44287967681884766,8,8,
198,benchmark-27,0.17214751243591309,0.44287967681884766,8,8,
199,benchmark-27,0.1721479892730713,0.44287967681884766,8,8,
200,benchmark-28,0.002501964569091797,0.006005525588989258,3,2,
201,benchmark-28,0.0025022029876708984,0.006005525588989258,3,2,
202,benchmark-28,0.00250244140625,0.006005525588989258,3,2,
203,benchmark-28,0.0025022029876708984,0.006005525588989258,3,2,
204,benchmark-28,0.00250244140625,0.006005525588989258,3,2,
205,benchmark-28,0.0030024051666259766,0.006005525588989258,3,2,
206,benchmark-28,0.0030024051666259766,0.006005525588989258,3,2,
207,benchmark-28,0.0030024051666259766,0.006005525588989258,3,2,
208,benchmark-28,0.0025022029876708984,0.006005525588989258,3,2,
209,benchmark-28,0.0025022029876708984,0.006005525588989258,3,2,
210,benchmark-29,0.014512300491333008,0.03152728080749512,5,3,
211,benchmark-29,0.015513896942138672,0.03152728080749512,5,3,
212,benchmark-29,0.01601386070251465,0.03152728080749512,5,3,
213,benchmark-29,0.015012741088867188,0.03152728080749512,5,3,
214,benchmark-29,0.015513420104980469,0.03152728080749512,5,3,
215,benchmark-29,0.015012979507446289,0.03152728080749512,5,3,
216,benchmark-29,0.015513896942138672,0.03152728080749512,5,3,
217,benchmark-29,0.015513181686401367,0.03152728080749512,5,3,
218,benchmark-29,0.015012502670288086,0.03152728080749512,5,3,
219,benchmark-29,0.015012741088867188,0.03152728080749512,5,3,
220,benchmark-3,0.006005525588989258,0.02602362632751465,8,2,
221,benchmark-3,0.006505727767944336,0.02602362632751465,8,2,
222,benchmark-3,0.007006406784057617,0.02602362632751465,8,2,
223,benchmark-3,0.006005048751831055,0.02602362632751465,8,2,
224,benchmark-3,0.006505727767944336,0.02602362632751465,8,2,
225,benchmark-3,0.006505727767944336,0.02602362632751465,8,2,
226,benchmark-3,0.006005048751831055,0.02602362632751465,8,2,
227,benchmark-3,0.006505489349365234,0.02602362632751465,8,2,
228,benchmark-3,0.006505489349365234,0.02602362632751465,8,2,
229,benchmark-3,0.006004810333251953,0.02602362632751465,8,2,
230,benchmark-30,0.059050559997558594,0.1326136589050293,7,3,
231,benchmark-30,0.0590510368347168,0.1326136589050293,7,3,
232,benchmark-30,0.060051918029785156,0.1326136589050293,7,3,
233,benchmark-30,0.05955171585083008,0.1326136589050293,7,3,
234,benchmark-30,0.062053680419921875,0.1326136589050293,7,3,
235,benchmark-30,0.06205344200134277,0.1326136589050293,7,3,
236,benchmark-30,0.06055283546447754,0.1326136589050293,7,3,
237,benchmark-30,0.061553001403808594,0.1326136589050293,7,3,
238,benchmark-30,0.06205320358276367,0.1326136589050293,7,3,
239,benchmark-30,0.0640554428100586,0.1326136589050293,7,3,
240,benchmark-31,0.02101731300354004,0.041535139083862305,5,3,
241,benchmark-31,0.020517587661743164,0.041535139083862305,5,3,
242,benchmark-31,0.021518230438232422,0.041535139083862305,5,3,
243,benchmark-31,0.021018028259277344,0.041535139083862305,5,3,
244,benchmark-31,0.020017147064208984,0.041535139083862305,5,3,
245,benchmark-31,0.020517587661743164,0.041535139083862305,5,3,
246,benchmark-31,0.020017385482788086,0.041535139083862305,5,3,
247,benchmark-31,0.020518064498901367,0.041535139083862305,5,3,
248,benchmark-31,0.020517587661743164,0.041535139083862305,5,3,
249,benchmark-31,0.019516944885253906,0.041535139083862305,5,3,
250,benchmark-32,0.0025022029876708984,0.004003286361694336,2,3,
251,benchmark-32,0.0025022029876708984,0.004003286361694336,2,3,
252,benchmark-32,0.0025022029876708984,0.004003286361694336,2,3,
253,benchmark-32,0.0025022029876708984,0.004003286361694336,2,3,
254,benchmark-32,0.0020020008087158203,0.004003286361694336,2,3,
255,benchmark-32,0.002501964569091797,0.004003286361694336,2,3,
256,benchmark-32,0.00250244140625,0.004003286361694336,2,3,
257,benchmark-32,0.002002239227294922,0.004003286361694336,2,3,
258,benchmark-32,0.0020020008087158203,0.004003286361694336,2,3,
259,benchmark-32,0.00250244140625,0.004003286361694336,2,3,
260,benchmark-33,0.0055048465728759766,0.013511896133422852,4,3,
261,benchmark-33,0.006005287170410156,0.013511896133422852,4,3,
262,benchmark-33,0.006005287170410156,0.013511896133422852,4,3,
263,benchmark-33,0.006005048751831055,0.013511896133422852,4,3,
264,benchmark-33,0.0055048465728759766,0.013511896133422852,4,3,
265,benchmark-33,0.005504131317138672,0.013511896133422852,4,3,
266,benchmark-33,0.0055048465728759766,0.013511896133422852,4,3,
267,benchmark-33,0.006005048751831055,0.013511896133422852,4,3,
268,benchmark-33,0.0055048465728759766,0.013511896133422852,4,3,
269,benchmark-33,0.0055043697357177734,0.013511896133422852,4,3,
270,benchmark-34,0.004077911376953125,0.010584354400634766,4,3,
271,benchmark-34,0.004503726959228516,0.010584354400634766,4,3,
272,benchmark-34,0.004503726959228516,0.010584354400634766,4,3,
273,benchmark-34,0.004503965377807617,0.010584354400634766,4,3,
274,benchmark-34,0.004503726959228516,0.010584354400634766,4,3,
275,benchmark-34,0.004503726959228516,0.010584354400634766,4,3,
276,benchmark-34,0.004503965377807617,0.010584354400634766,4,3,
277,benchmark-34,0.004003763198852539,0.010584354400634766,4,3,
278,benchmark-34,0.0040035247802734375,0.010584354400634766,4,3,
279,benchmark-34,0.004503726959228516,0.010584354400634766,4,3,
280,benchmark-35,0.11159563064575195,0.2702314853668213,8,3,
281,benchmark-35,0.11660027503967285,0.2702314853668213,8,3,
282,benchmark-35,0.11159539222717285,0.2702314853668213,8,3,
283,benchmark-35,0.11409807205200195,0.2702314853668213,8,3,
284,benchmark-35,0.11109542846679688,0.2702314853668213,8,3,
285,benchmark-35,0.10709190368652344,0.2702314853668213,8,3,
286,benchmark-35,0.11159563064575195,0.2702314853668213,8,3,
287,benchmark-35,0.11860179901123047,0.2702314853668213,8,3,
288,benchmark-35,0.11259627342224121,0.2702314853668213,8,3,
289,benchmark-35,0.1130971908569336,0.2702314853668213,8,3,
290,benchmark-36,0.01451253890991211,0.036031246185302734,6,3,
291,benchmark-36,0.01451253890991211,0.036031246185302734,6,3,
292,benchmark-36,0.01451253890991211,0.036031246185302734,6,3,
293,benchmark-36,0.014513015747070312,0.036031246185302734,6,3,
